start,end,label
0.0,4.772909915748541,eating
5.343583927414128,4.772909915748541,moving
7.211244329228775,14.059332469215812,sitting
14.059332469215812,17.950291639662993,sitting
17.950291639662993,18.987880751782242,moving
18.987880751782242,19.299157485418018,eating
19.299157485418018,20.336746597537264,moving
21.893130265716138,26.87355800388853,sitting
26.87355800388853,27.1848347375243,moving
27.1848347375243,35.329909267660405,eating
35.336681788723266,39.013350615683734,moving
39.324627349319506,80.05,sitting
